question,answer
Quais são os tratamentos para Microcefalia?,"Não existe tratamento para a microcefalia que possa devolver a cabeça de uma criança ao tamanho ou formato normal. O tratamento concentra-se em maneiras de diminuir o impacto das deformidades e deficiências neurológicas associadas. Crianças com microcefalia e atrasos no desenvolvimento geralmente são avaliadas por um neurologista pediátrico e acompanhadas por uma equipe médica. Programas de intervenção na primeira infância que envolvem terapeutas físicos, fonoaudiológicos e ocupacionais ajudam a maximizar habilidades e minimizar disfunções. Medicamentos são frequentemente usados ​​para controlar convulsões, hiperatividade e sintomas neuromusculares. O aconselhamento genético pode ajudar as famílias a compreender o risco de microcefalia em gestações subsequentes."
Quais são as perspectivas para a microcefalia?,"Algumas crianças com microcefalia terão inteligência normal e uma cabeça que crescerá, mas poderão ficar abaixo das curvas de crescimento normais para o perímetro cefálico. Algumas crianças podem ter apenas deficiências leves, enquanto aquelas com casos mais graves podem enfrentar dificuldades de aprendizagem significativas, atrasos cognitivos ou desenvolver outros distúrbios neurológicos. Muitos, se não a maioria, dos casos de microcefalia por Zika serão muito graves, possivelmente exigindo cuidados intensivos ao longo da vida."
que pesquisas (ou ensaios clínicos) estão sendo feitas para a microcefalia?,"O Instituto Nacional de Distúrbios Neurológicos e Derrame (NINDS), um dos vários institutos dos Institutos Nacionais de Saúde (NIH), conduz e financia pesquisas destinadas a compreender o desenvolvimento normal do cérebro, bem como distúrbios do cérebro e do sistema nervoso relacionados a doenças. Outros institutos e centros do NIH também apoiam pesquisas sobre distúrbios que podem afetar o desenvolvimento. Entre vários projetos, os cientistas estão estudando mecanismos genéticos e identificando novos genes envolvidos no desenvolvimento do cérebro. Os modelos animais estão ajudando os cientistas a compreender melhor a patologia das doenças humanas e a descobrir como os tamanhos dos tecidos e órgãos são afetados pela variabilidade do desenvolvimento. Outros investigadores esperam obter uma melhor compreensão do desenvolvimento normal do cérebro e dos mecanismos moleculares e celulares da microcefalia."
O que são (são) paralisias de Erb-Duchenne e Dejerine-Klumpke?,"O plexo braquial é uma rede de nervos que conduz sinais da coluna vertebral para o ombro, braço e mão. Lesões do plexo braquial são causadas por danos a esses nervos. A paralisia de Erb-Duchenne (Erb) refere-se à paralisia do plexo braquial superior. A paralisia de Dejerine-Klumpke (Klumpke) refere-se à paralisia do plexo braquial inferior. Embora as lesões possam ocorrer a qualquer momento, muitas lesões do plexo braquial ocorrem quando os ombros do bebê ficam impactados durante o parto e os nervos do plexo braquial se esticam ou se rompem. Existem quatro tipos de lesões do plexo braquial: avulsão, o tipo mais grave, em que o nervo é arrancado da coluna; ruptura, na qual o nervo é rompido, mas não na inserção espinhal; neuroma, no qual o nervo se rompeu e cicatrizou, mas o tecido cicatricial pressiona o nervo lesionado e o impede de conduzir sinais aos músculos; e neuropraxia ou estiramento, em que o nervo foi danificado, mas não rompido. A neuropraxia é o tipo mais comum de lesão do plexo braquial. Os sintomas de lesão do plexo braquial podem incluir braço flácido ou paralisado; falta de controle muscular no braço, mão ou punho; e falta de sensibilidade ou sensibilidade no braço ou na mão."
Quais são os tratamentos para as paralisias de Erb-Duchenne e Dejerine-Klumpke?,"Algumas lesões do plexo braquial podem cicatrizar sem tratamento. Muitas crianças feridas durante o parto melhoram ou se recuperam por volta dos 3 a 4 meses de idade. O tratamento das lesões do plexo braquial inclui fisioterapia e, em alguns casos, cirurgia."
Quais são as perspectivas para as paralisias de Erb-Duchenne e Dejerine-Klumpke?,"O local e o tipo de lesão do plexo braquial determinam o prognóstico. Para lesões por avulsão e ruptura, não há potencial de recuperação, a menos que a reconexão cirúrgica seja feita em tempo hábil. O potencial de recuperação varia para lesões de neuroma e neuropraxia. A maioria dos indivíduos com lesões de neuropraxia se recupera espontaneamente com um retorno funcional de 90-100%."
que pesquisas (ou ensaios clínicos) estão sendo feitas para as paralisias de Erb-Duchenne e Dejerine-Klumpke?,"O NINDS conduz e apoia pesquisas sobre lesões do sistema nervoso, como lesões do plexo braquial. Grande parte desta pesquisa visa encontrar maneiras de prevenir e tratar esses distúrbios."
O que é (são) Demência com Corpos de Lewy?,"A demência com corpos de Lewy (DLB) é um dos tipos mais comuns de demência progressiva. As características centrais da DCL incluem declínio cognitivo progressivo, flutuações no estado de alerta e atenção, alucinações visuais e sintomas motores parkinsonianos, como lentidão de movimentos, dificuldade para caminhar ou rigidez. As pessoas também podem sofrer de depressão. Os sintomas da DLB são causados ​​pelo acúmulo de corpos de Lewy que acumulam pedaços da proteína alfa-sinucleína – dentro dos núcleos dos neurônios em áreas do cérebro que controlam aspectos específicos da memória e do controle motor. Os pesquisadores não sabem exatamente por que a alfa-sinucleína se acumula nos corpos de Lewy ou como os corpos de Lewy causam os sintomas da DLB, mas sabem que o acúmulo de alfa-sinucleína também está ligado à doença de Parkinson, à atrofia de múltiplos sistemas e a vários outros distúrbios, chamados de ""sinucleinopatias"". A semelhança dos sintomas entre a DCL e a doença de Parkinson, e entre a DCL e a doença de Alzheimer, pode muitas vezes dificultar o diagnóstico definitivo do médico. Além disso, os corpos de Lewy também são frequentemente encontrados no cérebro de pessoas com doenças de Parkinson e Alzheimer. Esses achados sugerem que a DCL está relacionada a essas outras causas de demência ou que um indivíduo pode ter as duas doenças ao mesmo tempo. A DCL geralmente ocorre esporadicamente, em pessoas sem histórico familiar conhecido da doença. No entanto, casos familiares raros foram relatados ocasionalmente."
Quais são os tratamentos para Demência com Corpos de Lewy?,"Não há cura para DLB. Os tratamentos visam controlar os sintomas cognitivos, psiquiátricos e motores do transtorno. Os inibidores da acetilcolinesterase, como o donepezil e a rivastigmina, são usados ​​principalmente para tratar os sintomas cognitivos da DCL, mas também podem trazer algum benefício na redução dos sintomas psiquiátricos e motores. Os médicos tendem a evitar a prescrição de antipsicóticos para sintomas alucinatórios de DCL devido ao risco de a sensibilidade neuroléptica piorar os sintomas motores. Alguns indivíduos com DCL podem se beneficiar do uso de levodopa devido à rigidez e perda de movimentos espontâneos."
Quais são as perspectivas para a Demência com Corpos de Lewy?,"Tal como a doença de Alzheimer e a doença de Parkinson, a DLB é uma doença neurodegenerativa que resulta em deterioração intelectual e funcional progressiva. Não existem terapias conhecidas para parar ou retardar a progressão da DCL. A sobrevida média após o diagnóstico é semelhante à da doença de Alzheimer, cerca de 8 anos, com incapacidade progressivamente crescente."
que pesquisas (ou ensaios clínicos) estão sendo feitas para Demência com Corpos de Lewy?,"O Instituto Nacional de Distúrbios Neurológicos e Derrame (NINDS) e outros institutos dos Institutos Nacionais de Saúde conduzem pesquisas relacionadas ao DLB em laboratórios do NIH e apoiam pesquisas adicionais por meio de subsídios às principais instituições médicas em todo o país. Grande parte desta pesquisa se concentra na busca pelas raízes genéticas da DLB, explorando os mecanismos moleculares do acúmulo de alfa-sinucleína e descobrindo como os corpos de Lewy causam os sintomas específicos da DLB e de outras sinucleinopatias. O objetivo da pesquisa do NINDS é encontrar melhores maneiras de prevenir, tratar e, em última análise, curar doenças como a DCL."
O que é (são) Encefalite Letárgica?,"A encefalite letárgica é uma doença caracterizada por febre alta, dor de cabeça, visão dupla, atraso na resposta física e mental e letargia. Em casos agudos, os pacientes podem entrar em coma. Os pacientes também podem apresentar movimentos oculares anormais, fraqueza na parte superior do corpo, dores musculares, tremores, rigidez do pescoço e alterações comportamentais, incluindo psicose. A causa da encefalite letárgica é desconhecida. Entre 1917 e 1928, uma epidemia de encefalite letárgica se espalhou pelo mundo, mas nenhuma recorrência da epidemia foi relatada desde então. A doença de Parkinson pós-encefalítica pode se desenvolver após um surto de encefalite – às vezes até um ano após a doença."
Quais são os tratamentos para Encefalite Letárgica?,O tratamento da encefalite letárgica é sintomático. A levodopa e outros medicamentos antiparkinsonianos costumam produzir respostas dramáticas.
Quais são as perspectivas para a Encefalite Letárgica?,O curso da encefalite letárgica varia dependendo das complicações ou distúrbios acompanhantes.
que pesquisas (ou ensaios clínicos) estão sendo feitas para a encefalite letárgica?,"O NINDS apoia pesquisas sobre doenças que afetam o cérebro, como a encefalite letárgica, com o objetivo de encontrar formas de preveni-las e tratá-las. (A doença foi tema do livro e do filme “Awakenings”.)"
O que são (são) distúrbios cefálicos?,"Os distúrbios cefálicos são condições congênitas que resultam de danos ou desenvolvimento anormal do sistema nervoso em desenvolvimento. A maioria dos distúrbios cefálicos é causada por um distúrbio que ocorre muito cedo no desenvolvimento do sistema nervoso fetal. Os danos ao sistema nervoso em desenvolvimento são uma das principais causas de doenças crónicas e incapacitantes e, por vezes, de morte em bebés, crianças e até adultos. Os distúrbios cefálicos podem ser influenciados por condições hereditárias ou genéticas ou por exposições ambientais durante a gravidez (por exemplo, medicamentos tomados pela mãe, infecção materna, exposição à radiação). Alguns distúrbios cefálicos ocorrem quando as suturas cranianas (as articulações fibrosas que conectam os ossos do crânio) se unem prematuramente. Compreender o desenvolvimento normal do sistema nervoso humano pode levar a uma melhor compreensão dos distúrbios cefálicos."
Quais são os tratamentos para distúrbios cefálicos?,"Os tratamentos para distúrbios cefálicos dependem do tipo específico de distúrbio. Para a maioria dos distúrbios cefálicos, o tratamento é apenas sintomático e de suporte. Em alguns casos, shunts de medicamentos anticonvulsivantes ou fisioterapia são apropriados."
Qual é a perspectiva para os distúrbios cefálicos?,"O grau em que os danos ao sistema nervoso em desenvolvimento prejudicam a mente e o corpo varia enormemente. Muitas deficiências são leves o suficiente para permitir que as pessoas afetadas acabem por funcionar de forma independente na sociedade. Outros não. Alguns bebês, crianças e adultos morrem; outros permanecem totalmente incapacitados; e uma população ainda maior está parcialmente incapacitada, funcionando bem abaixo da capacidade normal."
que pesquisas (ou ensaios clínicos) estão sendo feitas para distúrbios cefálicos?,"Os cientistas estão aprendendo rapidamente como insultos prejudiciais, uma deficiência nutricional crítica ou exposição a um insulto ambiental em vários estágios da gravidez podem levar a distúrbios de desenvolvimento. Os projectos de investigação actualmente em curso incluem um estudo para avaliar o risco aumentado de defeitos do tubo neural e várias outras malformações congénitas em associação com a exposição ambiental e ocupacional a pesticidas. Os cientistas também estão a concentrar os seus esforços na compreensão dos processos complexos responsáveis ​​pelo desenvolvimento inicial normal do cérebro e do sistema nervoso e como a perturbação de qualquer um destes processos resulta em anomalias congénitas, tais como perturbações cefálicas. Atualmente, os pesquisadores estão examinando os mecanismos envolvidos na neurulação – o processo de formação do tubo neural. Os investigadores também estão conduzindo uma variedade de estudos genéticos. Compreender como os genes controlam a migração, proliferação, diferenciação e morte das células cerebrais, e como a radiação, os medicamentos, as toxinas, as infecções e outros factores perturbam estes processos ajudará na prevenção de muitas doenças neurológicas congénitas. Estudos recentes demonstraram que a adição de ácido fólico à dieta de mulheres em idade fértil pode reduzir significativamente a incidência de defeitos do tubo neural. Portanto, é recomendado que todas as mulheres em idade fértil consumam 0,4 mg de ácido fólico diariamente."
O que é (são) Demência Multi-Infarto?,"A demência multi-infarto (MID) é uma causa comum de perda de memória em idosos. MID é causado por múltiplos acidentes vasculares cerebrais (interrupção do fluxo sanguíneo para o cérebro). A interrupção do fluxo sanguíneo leva a danos no tecido cerebral. Alguns desses acidentes vasculares cerebrais podem ocorrer sem sintomas clínicos perceptíveis. Os médicos referem-se a estes como golpes silenciosos. Um indivíduo que sofre um acidente vascular cerebral silencioso pode nem saber o que está acontecendo, mas com o tempo, à medida que mais áreas do cérebro são danificadas e mais pequenos vasos sanguíneos são bloqueados, os sintomas do MID começam a aparecer. MID pode ser diagnosticado por uma ressonância magnética ou tomografia computadorizada do cérebro, juntamente com um exame neurológico. Os sintomas incluem confusão ou problemas de memória de curto prazo; vagar ou se perder em lugares familiares; andar com passos rápidos e arrastados; perder o controle da bexiga ou do intestino; rir ou chorar de forma inadequada; ter dificuldade em seguir instruções; e ter problemas para contar dinheiro e fazer transações monetárias. MID, que normalmente começa entre as idades de 60 e 75 anos, afeta mais os homens do que as mulheres. Como os sintomas da MID são muito semelhantes aos da doença de Alzheimer, pode ser difícil para o médico fazer um diagnóstico definitivo. Como as doenças geralmente ocorrem juntas, fazer um único diagnóstico de uma ou de outra é ainda mais problemático."
Quais são os tratamentos para Demência Multi-Infarto?,"Não há tratamento disponível para reverter o dano cerebral causado por um acidente vascular cerebral. O tratamento concentra-se na prevenção de futuros acidentes vasculares cerebrais, controlando ou evitando as doenças e condições médicas que colocam as pessoas em alto risco de acidente vascular cerebral: pressão arterial elevada, diabetes, colesterol elevado e doenças cardiovasculares. O melhor tratamento para MID é a prevenção no início da vida, alimentação saudável, exercícios, não fumar, uso moderado de álcool e manutenção de um peso saudável."
Quais são as perspectivas para a Demência Multi-Infarto?,"O prognóstico para indivíduos com MID é geralmente ruim. Os sintomas do distúrbio podem começar repentinamente, geralmente em um padrão gradual após cada pequeno acidente vascular cerebral. Algumas pessoas com MID podem até parecer melhorar por curtos períodos de tempo e depois declinar após terem AVC mais silenciosos. O distúrbio geralmente segue um curso descendente com períodos intermitentes de rápida deterioração. A morte pode ocorrer por acidente vascular cerebral, doença cardíaca, pneumonia ou outra infecção."
que pesquisas (ou ensaios clínicos) estão sendo feitas para Demência Multi-Infarto?,"O Instituto Nacional de Distúrbios Neurológicos e Derrame (NINDS) realiza pesquisas relacionadas ao MID em seus laboratórios nos Institutos Nacionais de Saúde (NIH) e também apoia pesquisas adicionais por meio de subsídios às principais instituições médicas em todo o país. Grande parte desta pesquisa se concentra em encontrar melhores maneiras de prevenir, tratar e, em última análise, curar as demências vasculares, como a MID."
O que são (são) convulsões febris?,"As convulsões febris são convulsões ou convulsões em bebês ou crianças pequenas causadas por febre. Na maioria das vezes, durante uma convulsão febril, a criança perde a consciência e treme incontrolavelmente. Menos comumente, a criança fica rígida ou apresenta espasmos em apenas uma parte do corpo. A maioria das convulsões febris dura um ou dois minutos; alguns podem durar apenas alguns segundos, enquanto outros podem durar mais de 15 minutos. Aproximadamente uma em cada 25 crianças terá pelo menos uma convulsão febril. As convulsões febris geralmente ocorrem em crianças entre 6 meses e 5 anos de idade, com pico de risco no segundo ano de vida. Quanto mais velha a criança for quando ocorrer a primeira convulsão febril, menor será a probabilidade de ela ter mais. Alguns fatores parecem aumentar o risco de uma criança ter convulsões febris recorrentes, incluindo idade jovem (menos de 18 meses) durante as primeiras convulsões e ter familiares imediatos com histórico de convulsões febris."
Quais são os tratamentos para convulsões febris?,"Uma criança que tem uma convulsão febril geralmente não precisa ser hospitalizada. Se a convulsão for prolongada ou acompanhada de uma infecção grave, ou se a origem da infecção não puder ser determinada, o médico poderá recomendar que a criança seja hospitalizada para observação. O uso diário prolongado de medicamentos anticonvulsivantes geralmente não é recomendado devido ao seu potencial para efeitos colaterais prejudiciais. Crianças especialmente propensas a convulsões febris podem ser tratadas com medicamentos quando têm febre para diminuir o risco de ter outra convulsão febril."
Qual é a perspectiva para convulsões febris?,"A grande maioria das convulsões febris são curtas e inofensivas. Não há evidências de que convulsões febris curtas causem danos cerebrais. Convulsões múltiplas ou prolongadas são um fator de risco para epilepsia, mas a maioria das crianças que apresentam convulsões febris não desenvolve convulsões recorrentes que são características da epilepsia. Certas crianças que têm convulsões febris enfrentam um risco aumentado de desenvolver epilepsia. Essas crianças incluem aquelas que têm convulsões febris que duram mais de 10 minutos, que têm convulsões febris prolongadas ou que afetam apenas uma parte do corpo, ou que apresentam convulsões que reaparecem em 24 horas."
que pesquisas (ou ensaios clínicos) estão sendo feitas para convulsões febris?,"O Instituto Nacional de Distúrbios Neurológicos e Derrame (NINDS) conduz pesquisas sobre convulsões em seu centro de pesquisa em Bethesda, Maryland, e por meio de doações às principais instituições médicas de todo o país. Cientistas apoiados pelo NINDS estão explorando fatores de risco ambientais, biológicos e genéticos que podem tornar as crianças suscetíveis a convulsões febris. Os investigadores continuam a monitorizar o impacto a longo prazo que as convulsões febris podem ter na inteligência, no comportamento, no desempenho escolar e no desenvolvimento da epilepsia. Os investigadores também continuam a explorar quais medicamentos podem efetivamente tratar ou prevenir convulsões febris e a identificar fatores que podem fazer com que uma criança com convulsões febris prolongadas desenvolva epilepsia do lobo temporal."
O que é (são) Hidrocefalia de Pressão Normal?,"A hidrocefalia de pressão normal (NPH) é um acúmulo anormal de líquido cefalorraquidiano (LCR) nos ventrículos ou cavidades do cérebro. Ocorre se o fluxo normal do LCR no cérebro e na medula espinhal for bloqueado de alguma forma. Isso faz com que os ventrículos aumentem, pressionando o cérebro. A hidrocefalia de pressão normal pode ocorrer em pessoas de qualquer idade, mas é mais comum em idosos. Pode resultar de hemorragia subaracnóidea, traumatismo cranioencefálico, infecção, tumor ou complicações cirúrgicas. No entanto, muitas pessoas desenvolvem HPN mesmo quando nenhum destes factores está presente. Nestes casos a causa do distúrbio é desconhecida.
                
Os sintomas da NPH incluem comprometimento mental progressivo e demência, problemas para caminhar e comprometimento do controle da bexiga. A pessoa também pode apresentar uma lentidão geral dos movimentos ou reclamar que seus pés parecem ""presos"". Como esses sintomas são semelhantes aos de outros distúrbios, como a doença de Alzheimer, a doença de Parkinson e a doença de Creutzfeldt-Jakob, o distúrbio costuma ser mal diagnosticado. Muitos casos passam despercebidos e nunca são tratados adequadamente. Os médicos podem usar uma variedade de testes, incluindo tomografias cerebrais (TC e/ou ressonância magnética), punção lombar ou cateter lombar, monitoramento da pressão intracraniana e testes neuropsicológicos, para ajudá-los a diagnosticar NPH e descartar outras condições."
Quais são os tratamentos para Hidrocefalia de Pressão Normal?,"O tratamento da NPH envolve a colocação cirúrgica de um shunt no cérebro para drenar o excesso de LCR para o abdômen, onde pode ser absorvido como parte do processo circulatório normal. Isso permite que os ventrículos cerebrais retornem ao tamanho normal. O acompanhamento regular por um médico é importante para identificar alterações sutis que possam indicar problemas com o shunt."
Quais são as perspectivas para a Hidrocefalia de Pressão Normal?,"Os sintomas da NPH geralmente pioram com o tempo se a doença não for tratada, embora algumas pessoas possam sentir melhorias temporárias. Embora o sucesso do tratamento com shunts varie de pessoa para pessoa, algumas pessoas recuperam quase completamente após o tratamento e têm uma boa qualidade de vida. O diagnóstico e o tratamento precoces aumentam as chances de uma boa recuperação. Sem tratamento, os sintomas podem piorar e causar a morte."
que pesquisas (ou ensaios clínicos) estão sendo feitas para a Hidrocefalia de Pressão Normal?,"O NINDS conduz e apoia pesquisas sobre distúrbios neurológicos, incluindo hidrocefalia de pressão normal. A pesquisa sobre distúrbios como a hidrocefalia de pressão normal concentra-se em aumentar o conhecimento e a compreensão do distúrbio, melhorar as técnicas de diagnóstico e neuroimagem e encontrar melhores tratamentos e prevenções."
O que é (são) a Síndrome de Miller Fisher?,"A síndrome de Miller Fisher é uma doença nervosa adquirida rara, considerada uma variante da síndrome de Guillain-Barr. É caracterizada por coordenação muscular anormal, paralisia dos músculos oculares e ausência dos reflexos tendinosos. Assim como a síndrome de Guillain-Barr, os sintomas podem ser precedidos por uma doença viral. Os sintomas adicionais incluem fraqueza muscular generalizada e insuficiência respiratória. A maioria dos indivíduos com síndrome de Miller Fisher possui um anticorpo único que caracteriza o distúrbio."
Quais são os tratamentos para a Síndrome de Miller Fisher?,O tratamento para a síndrome de Miller Fisher é idêntico ao tratamento para a síndrome de Guillain-Barr: imunoglobulina intravenosa (IVIg) ou plasmaférese (um procedimento no qual os anticorpos são removidos do sangue) e cuidados de suporte.
Quais são as perspectivas para a Síndrome de Miller Fisher?,"O prognóstico para a maioria dos indivíduos com síndrome de Miller Fisher é bom. Na maioria dos casos, a recuperação começa 2 a 4 semanas após o início dos sintomas e pode estar quase completa em 6 meses. Alguns indivíduos ficam com déficits residuais. As recaídas podem ocorrer raramente (em menos de 3% dos casos)."
que pesquisas (ou ensaios clínicos) estão sendo feitas para a Síndrome de Miller Fisher?,"O NINDS apoia pesquisas destinadas a descobrir novas maneiras de diagnosticar, tratar e, em última análise, curar neuropatias como a síndrome de Miller Fisher."
O que é (são) Dor Crônica?,"Embora a dor aguda seja uma sensação normal desencadeada no sistema nervoso para alertá-lo sobre possíveis lesões e a necessidade de cuidar de si mesmo, a dor crônica é diferente. A dor crônica persiste. Os sinais de dor continuam disparando no sistema nervoso por semanas, meses e até anos. Pode ter havido um acidente inicial – torção nas costas, infecção grave, ou pode haver uma causa contínua de dor – artrite, câncer, infecção de ouvido, mas algumas pessoas sofrem de dor crônica na ausência de qualquer lesão anterior ou evidência de dano corporal. Muitas condições de dor crônica afetam adultos mais velhos. Queixas comuns de dor crônica incluem dor de cabeça, dor lombar, dor oncológica, dor de artrite, dor neurogênica (dor resultante de danos aos nervos periféricos ou ao próprio sistema nervoso central), dor psicogênica (dor não causada por doença ou lesão passada ou qualquer sinal visível de dano dentro ou fora do sistema nervoso). Uma pessoa pode ter duas ou mais condições de dor crônica coexistentes. Tais condições podem incluir síndrome da fadiga crônica, endometriose, fibromialgia, doença inflamatória intestinal, cistite intersticial, disfunção da articulação temporomandibular e vulvodínia. Não se sabe se esses distúrbios compartilham uma causa comum."
Quais são os tratamentos para Dor Crônica?,"Medicamentos, acupuntura, estimulação elétrica local e estimulação cerebral, bem como cirurgia, são alguns tratamentos para a dor crônica. Alguns médicos usam placebos, o que em alguns casos resultou na diminuição ou eliminação da dor. Psicoterapia, terapias de relaxamento e medicação, biofeedback e modificação de comportamento também podem ser empregadas para tratar a dor crônica."
Quais são as perspectivas para a dor crônica?,Muitas pessoas com dor crónica podem ser ajudadas se compreenderem todas as causas da dor e as muitas e variadas medidas que podem ser tomadas para desfazer o que a dor crónica fez. Os cientistas acreditam que os avanços na neurociência levarão a mais e melhores tratamentos para a dor crónica nos próximos anos.
que pesquisas (ou ensaios clínicos) estão sendo feitas para dor crônica?,"Investigadores clínicos testaram pacientes com dor crônica e descobriram que eles geralmente apresentam níveis de endorfinas abaixo do normal no líquido espinhal. As investigações da acupuntura incluem a fiação das agulhas para estimular eletricamente as terminações nervosas (eletroacupuntura), que alguns pesquisadores acreditam que ativa os sistemas de endorfina. Outros experimentos com acupuntura mostraram que existem níveis mais elevados de endorfinas no líquido cefalorraquidiano após a acupuntura. Os investigadores estão estudando o efeito do estresse na experiência da dor crônica. Os químicos estão sintetizando novos analgésicos e descobrindo virtudes analgésicas em medicamentos normalmente não prescritos para a dor."
O que é (são) Adrenoleucodistrofia?,"A adrenoleucodistrofia ligada ao X (ALD) faz parte de um grupo de doenças genéticas chamadas leucodistrofias que causam danos à bainha de mielina, uma membrana isolante que envolve as células nervosas do cérebro. As mulheres têm dois cromossomas X e são as portadoras da doença, mas como os homens têm apenas um cromossoma X e não têm o efeito protector do cromossoma X extra, são mais gravemente afectados. Pessoas com X-ALD acumulam altos níveis de ácidos graxos saturados de cadeia muito longa (VLCFA) no cérebro e no córtex adrenal. A perda de mielina e a disfunção progressiva da glândula adrenal são as características primárias da X-ALD. Embora quase todos os pacientes com X-ALD sofram de insuficiência adrenal, também conhecida como doença de Addison, os sintomas neurológicos podem começar na infância ou na idade adulta. A forma cerebral infantil é a mais grave, com início entre os 4 e os 10 anos de idade. Os sintomas mais comuns são geralmente alterações comportamentais, como retraimento anormal ou agressão, falta de memória e baixo desempenho escolar. Outros sintomas incluem perda visual, dificuldades de aprendizagem, convulsões, fala mal articulada, dificuldade em engolir, surdez, distúrbios de marcha e coordenação, fadiga, vômitos intermitentes, aumento da pigmentação da pele e demência progressiva. A forma mais branda de início na idade adulta também é conhecida como adrenomieloneuropatia (AMN), que normalmente começa entre os 21 e os 35 anos. Os sintomas podem incluir rigidez progressiva, fraqueza ou paralisia dos membros inferiores e ataxia. Embora a ALD de início na idade adulta progrida mais lentamente do que a forma clássica da infância, também pode resultar na deterioração da função cerebral. Quase metade das mulheres portadoras de X-ALS desenvolverá uma forma mais branda de AMN, mas quase nunca desenvolverá os sintomas observados em meninos de X-ALD. A X-ALD não deve ser confundida com a adrenoleucodistrofia neonatal, que é uma doença de recém-nascidos e bebês pequenos e pertence ao grupo dos distúrbios da biogênese peroxissomal."
Quais são os tratamentos para Adrenoleucodistrofia?,"A função adrenal deve ser testada periodicamente em todos os pacientes com DHA. O tratamento com hormônios adrenais pode salvar vidas. Os tratamentos sintomáticos e de suporte para ALD incluem fisioterapia, apoio psicológico e educação especial. Evidências recentes sugerem que uma mistura de ácido oleico e ácido erúcico, conhecida como “Óleo de Lorenzo”, administrada a meninos com X-ALD antes do início dos sintomas pode prevenir ou retardar o aparecimento da forma cerebral infantil. Não se sabe se o Óleo de Lorenzo terá quaisquer efeitos benéficos na AMN. Além disso, o óleo de Lorenzo não tem efeito benéfico em rapazes sintomáticos com X-ALD. Os transplantes de medula óssea podem proporcionar benefícios a longo prazo para meninos que apresentam evidências precoces da forma cerebral infantil da X-ALD, mas o procedimento apresenta risco de mortalidade e morbidade e não é recomendado para aqueles cujos sintomas já são graves ou que apresentam as formas de início na idade adulta ou neonatal."
Quais são as perspectivas para a Adrenoleucodistrofia?,"O prognóstico para pacientes com X-ALD cerebral infantil é geralmente ruim devido à deterioração neurológica progressiva, a menos que o transplante de medula óssea seja realizado precocemente. A morte geralmente ocorre dentro de 1 a 10 anos após o início dos sintomas. AMN de início na idade adulta irá progredir ao longo de décadas."
que pesquisas (ou ensaios clínicos) estão sendo feitas para a Adrenoleucodistrofia?,"O NINDS apoia pesquisas sobre doenças genéticas como a ALD. O objetivo desta pesquisa é encontrar maneiras de prevenir, tratar e curar esses distúrbios. Estão atualmente em andamento estudos para identificar novos biomarcadores de progressão da doença e para determinar quais pacientes desenvolverão a forma cerebral infantil da X-ALD. Um estudo de caso recente na Europa demonstrou que a combinação de terapia genética com transplante de medula óssea, utilizando células da medula óssea do próprio paciente, pode interromper a progressão da doença na X-ALD cerebral infantil. Uma trilha terapêutica nos Estados Unidos está atualmente sendo discutida com a Food and Drug Administration dos EUA."
O que é (são) Hidromielia?,"Hidromielia refere-se a um alargamento anormal do canal central da medula espinhal que cria uma cavidade na qual o líquido cefalorraquidiano (comumente conhecido como líquido espinhal) pode se acumular. À medida que o líquido espinhal se acumula, ele pode exercer pressão anormal na medula espinhal e danificar as células nervosas e suas conexões. A hidromielia às vezes é usada de forma intercambiável com a siringomielia, o nome de uma condição que também envolve cavitação na medula espinhal. Na hidromielia, a cavidade que se forma está conectada ao quarto ventrículo do cérebro e quase sempre está associada em bebês e crianças com hidrocefalia ou defeitos congênitos, como malformação de Chiari II e síndrome de Dandy-Walker. A siringomielia, entretanto, apresenta uma cavidade fechada e ocorre principalmente em adultos, a maioria dos quais tem malformação de Chiari tipo 1 ou sofreu trauma medular. Os sintomas, que podem ocorrer ao longo do tempo, incluem fraqueza nas mãos e nos braços, rigidez nas pernas; e perda sensorial no pescoço e braços. Alguns indivíduos apresentam fortes dores no pescoço e nos braços. O diagnóstico é feito por ressonância magnética (RM), que revela anormalidades na anatomia da medula espinhal."
Quais são os tratamentos para Hidromielia?,"Geralmente, os médicos recomendam cirurgia para crianças com hidromielia se elas apresentarem déficits neurológicos moderados ou graves. O tratamento cirúrgico restabelece o fluxo normal do líquido espinhal."
Quais são as perspectivas para a hidromielia?,"A cirurgia pode aliviar permanente ou temporariamente os sintomas, mas também pode causar uma série de complicações graves. Em casos raros, a hidromielia pode resolver-se sozinha, sem qualquer intervenção médica."
que pesquisas (ou ensaios clínicos) estão sendo feitas para a hidromielia?,"O Instituto Nacional de Distúrbios Neurológicos e Derrame (NINDS) realiza pesquisas relacionadas à hidromielia em suas clínicas e laboratórios nos Institutos Nacionais de Saúde (NIH) e apoia pesquisas adicionais por meio de subsídios às principais instituições de pesquisa em todo o país. Grande parte desta pesquisa se concentra em encontrar melhores maneiras de prevenir, tratar e, em última análise, curar anormalidades da medula espinhal, como a hidromielia."
